"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"KAOS e-sport","ADC",3,"67%",,21,11,21,3.8,"66.7%","33.3%","18.0%","0%",168,-38,14,8,"29.7%",889,"28.9%","30.3%",322,"27.0%",0,0.36,0.07,0.24
,"Lucent Esports","ADC",6,"0%",,30,32,17,1.5,"69.1%","44.1%","21.9%","33%",-1003,-810,-25.5,6.6,"27.4%",509,"24.3%","25.7%",246,"24.8%",0,0.41,0.17,0.21
,"unknown team","ADC",19,"37%",,90,79,80,2.2,"60.1%","31.8%","21.9%","16%",-170,-150,-1.9,8.6,"31.3%",533,"23.8%","24.3%",291,"26.1%",0,0.34,0.11,0.22
,"unknown team","Jungle",21,"33%",,55,95,159,2.3,"65.2%","16.8%","21.0%","33%",-119,60,3.8,5.2,"15.1%",379,"15.2%","14.9%",200,"18.2%",0,0.16,0.14,0.25
,"Bifrost","Jungle",3,"100%",,13,8,40,6.6,"64.6%","15.9%","25.8%","33%",254,-94,-1.7,5,"14.9%",440,"14.8%","12.3%",252,"17.5%",0,0.27,0.25,0.23
,"AaB Esport","Jungle",4,"0%",,3,20,17,1,"54.1%","8.1%","22.5%","0%",-962,-867,-16,5.5,"17.5%",226,"12.8%","12.2%",176,"18.2%",0,0.18,0.18,0.27
,"Lundqvist Lightside","Jungle",6,"50%",,23,23,37,2.6,"65.2%","25.0%","29.9%","33%",-470,-497,-6.3,5,"13.0%",369,"14.9%","14.3%",218,"18.3%",0,0.04,0.04,0.24
,"XAL Esports","Jungle",3,"67%",,11,6,35,7.7,"74.2%","17.7%","13.3%","33%",129,-16,-1.7,5.5,"17.3%",368,"15.9%","17.2%",241,"18.8%",0,0.16,0.16,0.31
,"unknown team","Middle",41,"29%",,149,156,222,2.4,"58.3%","23.4%","18.1%","12%",-195,-137,-4,7.4,"24.4%",545,"23.4%","24.8%",244,"22.5%",0,0.33,0.06,0.13
,"Lucent Esports","Support",6,"0%",,2,30,50,1.7,"76.5%","2.9%","20.5%","33%",-695,-58,8,1.1,"4.4%",188,"8.9%","9.4%",95,"10.3%",0,0.98,0.37,0.18
,"unknown team","Support",33,"30%",,30,136,303,2.4,"68.5%","6.2%","20.9%","24%",38,36,-4.4,0.9,"3.0%",230,"10.5%","9.4%",105,"9.7%",0,1.09,0.22,0.26
,"unknown team","Top",21,"19%",,51,88,109,1.8,"45.8%","14.6%","17.7%","5%",-476,-126,-7.1,6.7,"22.9%",503,"20.2%","19.4%",217,"20.1%",0,0.34,0.09,0.09
"2Axes","Domino Esport","ADC",6,"67%",,49,25,34,3.3,"62.9%","37.1%","21.9%","17%",-186,-90,-1.8,8.5,"31.3%",768,"25.4%","27.6%",349,"26.3%",0,0.29,0.06,0.2
"Abagnale","NYYRIKKI","Support",6,"83%",,4,14,72,5.4,"70.4%","3.7%","24.1%","0%",-122,-415,8.2,1,"2.1%",115,"5.5%","5.4%",108,"8.9%",0,1.31,0.32,0.2
